from,to,text,time_start,time_end,comment
AR1-1,DAL394,delta three ninety four turn right heading ah two zero zero,11.08,16.10,
DAL394,AR1-1,delta three ninety four two zero zero,16.26,17.30,
AR1-1,DAL394,delta three ninety four reduce speed to one niner zero,25.86,28.17,
DAL394,AR1-1,delta three ninety four one hundred and ninety knots,28.64,30.72,
AR1-1,DAL394,delta three ninety four turn right heading two seven zero,33.18,35.45,
DAL394,AR1-1,delta three ninety four right turn two seven zero,36.12,38.30,
AR1-1,DAL394,delta three ninety four you're five south of the marker turn right heading three two zero maintain three thousand until established on the localizer cleared i l s approach runway three five right one one hundred ninety knots to the outer marker please,49.55,58.82,
DAL394,AR1-1,delta three ninety four,59.69,60.77,
DAL455,AR1-1,one ninety delta four fifty five,72.32,74.18,
AR1-1,DAL946,delta nine forty six ah descend and maintain five thousand turn ten degrees to the right,77.30,82.13,
DAL946,AR1-1,okay down to five thousand ten right delta nine forty six,82.98,86.54,
AR1-1,DAL946,yeah,86.80,87.18,
N0BF,AR1-1,regional approach five zero bravo fox level five thousand,88.09,91.28,
AR1-1,DAL394,delta three ninety four contact tower one two six point five five,99.97,103.03,
DAL394,AR1-1,delta three ninety four good day,103.05,104.04,
AR1-1,DAL394,so long,104.38,104.93,
AR1-1,DAL946,delta nine forty six descend and maintain three thousand turn right heading two zero zero,108.03,112.31,
DAL946,AR1-1,three thousand two hundred degrees delta nine forty six,112.70,114.99,
AR1-1,DAL455,delta four fifty five turn right heading three one zero,115.39,118.10,
DAL455,AR1-1,three one zero delta four fifty five,119.07,121.00,
AR1-1,N0BF,november five zero bravo foxtrot turn right heading three one zero,121.32,124.77,
N0BF,AR1-1,right three one oh bravo fox,125.11,126.55,
AR1-1,DAL946,delta four fifty five reduce speed to one niner zero ah delta nine forty six reduce speed to one niner zero and turn right heading two seven zero,128.53,135.17,
DAL946,AR1-1,nine forty six will slow to one ninety and turn to two seventy,135.43,138.12,
AR1-1,DAL946,delta nine forty six turn right heading three two zero you're six south of the marker cleared i l s approach runway three five right and maintain three thousand until established on the localizer one niner zero knots to the outer marker,156.60,165.93,
DAL946,AR1-1,hundred and ninety knots three hundred and twenty degrees cleared approach delta nine forty six,168.65,171.96,
AR1-1,DAL455,delta four fifty five you're twelve miles south of the marker heading three two zero maintain four thousand till established one zero knots to the outer marker cleared i l s approach runway three five right,172.75,181.34,
TWA319,AR1-1,ah regional approach t w a three nineteen out of one one thousand for six,190.87,194.58,
AR1-1,TWA319,t w a three nineteen regional approach expect i l s approach runway three six left localizer frequency is one one one point niner,194.91,200.77,
TWA319,AR1-1,ah t w a three nineteen three six left,201.59,203.83,
AR1-1,DAL455,delta four fifty five descend and maintain three thousand till established now,205.32,208.66,
DAL455,AR1-1,delta four fifty five established ah intercept at three thousand feet,209.04,213.15,
AR1-1,DAL455,that's correct,213.45,214.14,
AR1-1,DAL946,delta nine forty six contact tower one two six point five five,215.18,218.38,
DAL946,AR1-1,one two six five five delta nine forty six,218.87,221.19,
DAL1019,AR1-1,approach delta ten nineteen is with you through seven thousand for five thousand,226.56,229.64,
AR1-1,DAL1019,delta ten nineteen regional approach expect i l s approach runway three five right,229.91,233.39,
DAL1019,AR1-1,delta ten nineteen roger,234.43,235.36,
AR1-1,DAL455,delta four fifty five one hundred and ninety knots to the marker contact tower one two six point five five good day,240.73,245.95,
DAL455,AR1-1,two six five five good day,246.31,248.16,
AR1-1,N0BF,november five zero bravo foxtrot turn left heading two niner zero,250.08,253.52,
N0BF,AR1-1,left two niner zero zero bravo fox,253.79,255.35,
AR1-1,TWA319,t w a three nineteen descend and maintain five thousand,278.61,281.57,
TWA319,AR1-1,t w a three nineteen will maintain five thousand,282.13,284.31,
AR1-1,N0BF,november five zero bravo foxtrot descend and maintain four thousand,284.67,287.76,
AR1-1,DAL1019,delta ten nineteen reduce speed to two one zero,289.78,292.57,
DAL1019,AR1-1,delta ten nineteen slowing to two ten,292.92,294.75,
AR1-1,DAL455,delta four fifty five tower one two six point five five,297.76,300.53,
AR1-1,N0BF,falcon five zero bravo foxtrot reduce speed to one niner zero,302.66,305.89,
N0BF,AR1-1,slowing to one nine zero bravo fox,306.42,307.98,
AR1-1,DAL1019,delta ten nineteen turn ten degrees right,312.83,314.97,
DAL1019,AR1-1,delta ten nineteen ten degrees right,316.18,317.65,
AR1-1,N0BF,november five zero bravo foxtrot you're seven south of the marker turn right heading three three zero maintain four thousand until established on the localizer speed one nine zero to outer marker cleared i l s three six left approach,320.95,330.45,
N0BF,AR1-1,heading three three zero keep the speed to the marker cleared for the approach bravo fox,330.80,334.52,
AR1-1,TWA319,t w a three nineteen descend and maintain three thousand,354.36,357.12,
TWA319,AR1-1,twa319 t w a three nineteen to three thousand,357.60,359.65,
AR1-1,N0BF,november five zero bravo foxtrot contact tower one two four point one five,367.09,370.66,
N0BF,AR1-1,two four point one five good day,370.95,372.29,
AR1-1,N0BF,so long,372.33,372.87,
AR1-1,TWA319,t w a three nineteen turn right heading two one zero,373.94,376.80,
TWA319,AR1-1,t w a three nineteen right heading two one zero,377.18,380.75,
