from,to,text,time_start,time_end,comment
N74B,DR1-1 ,one seven thousand one seven four bravo,41.99,44.53,
DAL218,DR1-1 ,delta two eighteen heavy with you out of fifteen hundred,46.66,48.85,
DR1-1,DAL218 ,delta two eighteen heavy regional departure radar contact,49.53,53.23,
DR1-1,N74B ,falcon seven four bravo how do you hear me,76.73,78.83,
N74B,DR1-1 ,loud and clear,80.66,81.84,
N74B,DR1-1 ,okay thank you,81.97,82.87,
DR1-1,N74B ,falcon seven four bravo contact fort worth center on one three two point eight five,99.10,103.10,
N74B,DR1-1 ,three two eighty-five we'll see you,103.68,105.18,
DR1-1,N74B ,good day,105.24,105.91,
DR1-1,DAL218 ,delta two eighteen heavy turn right heading zero niner zero,123.81,127.10,
DAL218,DR1-1 ,okay zero nine zero delta two eighteen heavy,127.34,129.45,
DAL556,DR1-1 ,regional departure delta five five six out of two point five for ten,189.38,193.03,
DR1-1,DAL556 ,delta five fifty-six regional departure radar contact,193.35,196.30,
DR1-1,DAL218 ,delta two eighteen heavy traffic ten o'clock five miles southwest bound one one thousand,221.85,227.07,
DAL218,DR1-1 ,in sight delta two eighteen heavy,227.81,229.69,
DR1-1,DAL556 ,delta five fifty-six turn right heading zero nine zero,236.44,239.09,
DAL556,DR1-1 ,zero nine zero delta five five six,239.75,241.92,
DR1-1,DAL218 ,delta two eighteen heavy join the d f w zero six seven radial and resume own navigation climb and maintain one seven thousand,246.85,253.26,
DAL218,DR1-1 ,okay we'll join the ah zero six seven off of d f w and climb to ah one seven thousand delta two eighteen heavy,253.70,259.74,
DAL866,DR1-1 ,hello departure delta eight sixty-six is out of two thousand six hundred for ten thou,261.35,265.26,
DR1-1,DAL866 ,delta eight sixty-six regional departure radar contact,265.60,269.01,
SWA41,DR1-1 ,regional departure southwest forty-one with you out of one point six for five thousand,281.35,285.51,
DR1-1,SWA41 ,southwest forty-one regional departure radar contact,286.21,289.74,
DR1-1,SWA41 ,southwest ah forty-one climb and maintain eight thousand leaving four thousand five hundred turn right heading one three zero,291.55,298.11,
SWA41,DR1-1 ,climb to ah eight thousand out of four thousand five hundred right turn to one eight zero southwest forty-one,300.76,305.46,
DR1-1,DAL866 ,delta eight sixty-six turn right heading zero niner zero join the d f w zero six seven radial,309.57,315.09,
DAL866,DR1-1 ,oh nine oh to join the zero six seven radial delta eight sixty-six,315.49,319.91,
DR1-1,SWA41 ,southwest forty-one start your right turn now,321.21,323.58,
SWA41,DR1-1 ,southwest forty-one in a right turn,324.58,325.81,
DR1-1,DAL218 ,delta two eighteen heavy contact fort worth center on one three two point eight five good day,330.36,335.30,
DAL218,DR1-1 ,ah thirty-two eighty-five delta two eighteen heavy,335.48,337.61,
DR1-1,DAL556 ,delta five fifty-six turn right to one zero zero join the d f w zero seven eight radial,338.41,343.21,
DAL556,DR1-1 ,ah one zero zero on the heading to join delta five five six,344.61,347.82,
DAL605,DR1-1 ,departure delta six oh five out of one point five for ten,416.42,419.29,
DR1-1,DAL605 ,out of one point five i missed your number,420.86,422.50,
DAL605,DR1-1 ,it's delta six zero five,423.04,424.75,
DR1-1,DAL605 ,delta six oh five regional departure radar contact,425.05,427.48,
DR1-1,SWA41 ,southwest forty-one climb and maintain one seven thousand,428.04,431.05,
SWA41,DR1-1 ,climb and maintain one seven thousand southwest forty-one,431.49,433.62,
DR1-1,DAL556 ,delta five fifty-six climb and maintain one seven thousand contact fort worth center one three two point eight five,435.08,440.24,
DAL556,DR1-1 ,one seven thousand and thirty-two eighty-five delta five five six,441.37,444.82,
