from,to,text,time_start,time_end,comment
LC,EAG1,eagle one roger frequency change over to andrews tower is approved,27.46,30.59,aircraft apparently on another frequency
LC,N3MM,three mike mike ah west bank and ah where from there,107.60,111.25,
LC,N3MM,that's approved three mike mike,118.38,119.95,controller omitted ident prefix; aircraft apparently on another frequency
NWA1878,LC,northwest eighteen seventy eight wilco,131.88,133.43,
AAL846,LC,washington american eight forty six ah just inside oxonn for ah three six,169.67,173.98,
LC,AAL846,american eight forty six washington tower runway three six cleared to land wind two niner zero at five,174.43,179.33,
AAL846,LC,cleared to land american eight forty six,179.40,181.31,
LC,NHK6,nighthawk six routing approved altimeter's three zero zero zero,187.88,191.48,aircraft apparently on another frequency
LC,NHK7,nighthawk seven route approved report greenbelt,203.88,206.20,aircraft apparently on another frequency
TPS6531,LC,wash tower trump sixty five thirty one is ah with you,211.35,214.32,
LC,TPS6531,trump sixty five thirty one washington tower roger number two for the airport reduce to your approach speed there'll be one departure,217.25,222.96,
TPS6531,LC,we're reducing trump sixty five thirty one,223.83,226.70,
NWA1878,LC,and washington's tower northwest eighteen seventy eight ready to go,261.68,264.55,
LC,TPS6540,roger trump sixty five forty runway three six taxi into position and hold be ready to go,265.15,269.46,
TPS6540,LC,on to hold trump ah sixty five forty,270.53,272.85,
LC,AAL846,american eight forty six turn left on india or three three if your speed permits,289.10,293.78,
AAL846,LC,taking three three,299.54,300.48,
LC,NHK2,nighthawk two route approved,301.39,302.76,aircraft apparently on another frequency
LC,TPS6540,trump sixty five forty wind three zero zero at five runway three six cleared for takeoff traffic's two and a half out,306.38,313.01,
TPS6540,LC,all right cleared to go trump sixty five forty,313.18,315.46,
LC,NHK6,nighthawk six frequency change to andrews is approved,317.69,320.47,aircraft apparently on another frequency
LC,MED1,medstar one just off andrews to medstar's approved there's an opposite direction helicopter with the coroner,337.77,342.81,aircraft apparently on another frequency
COA412,LC,tower continental four twelve checking in seven miles out visual three six,345.79,349.64,
LC,COA412,continental four twelve washington tower runway three six cleared to land the wind three one zero at five helicopter's eleven o'clock and ah three miles down low,350.10,357.05,
COA412,LC,okay three six cleared to land looking for the helicopter continental four twelve,357.96,361.44,
TPS6531,LC,sixty five thirty one cleared to land,370.52,372.28,pilot omitted ident prefix
LC,TPS6531,cleared to land three six six five thirty one,372.62,374.78,controller omitted ident prefix
LC,TPS6540,trump sixty five forty contact departure,375.35,377.56,
TPS6540,LC,sixty five forty so long,377.75,379.18,pilot omitted ident prefix
NWA1878,LC,into position and hold runway three six northwest eighteen seventy eight,383.46,386.09,
LC,TPS6531,trump sixty five thirty one three three is approved speed permitting,394.14,397.53,
TPS6531,LC,wa we go to the end,398.03,399.38,
LC,TPS6531,okay,399.76,400.63,
LC,TPS6531,trump sixty five thirty one turn left cross three three ground point seven on the other side,419.94,423.93,
TPS6531,LC,going across three three trump sixty five thirty one,424.22,426.20,
LC,NWA1878,northwest eighteen seventy eight traffic's three mile final runway three six cleared for takeoff,428.39,432.43,
NWA1878,LC,northwest eighteen seventy eight is rolling,432.65,434.52,
LC,MED1,medstar one your traffic's eleven o'clock two miles opposite direction,449.71,452.77,aircraft apparently on another frequency
USA294,LC,tower u s air ah two ninety four is ten out on the ah river for three six,456.18,460.66,
LC,NHK2,nighthawk two traffic at eleven o'clock and two miles ah opposite direction inbound to ah medstar hospital is a helicopter,460.96,467.27,aircraft apparently on another frequency
LC,USA294,u s air two ninety four did you call,473.58,475.36,
USA294,LC,that's affirm we're ah eight out nine out now,475.67,477.59,
LC,USA294,u s air two ninety four washington tower runway three six cleared to land wind three one zero at four,478.29,482.06,
USA294,LC,cleared to land three six u s air two ninety four,482.50,484.16,
LC,COA412,continental four twelve is cleared to land three six,484.64,486.67,
COA412,LC,roger,486.87,487.49,
LC,NWA1878,northwest eighteen seventy eight contact departure,487.85,490.06,
NWA1878,LC,good day,490.40,490.88,
USA122,LC,position on three six u s air one twenty two,494.89,496.58,
LC,N3MM,three mike mike you going to continue southbound out of the t c a,496.81,499.54,
LC,NHK2,nighthawk two frequency change approved good day,511.83,514.02,aircraft apparently on another frequency
LC,COA412,continental four twelve turn left three three is approved ground point seven when you're off three six,515.16,520.05,
COA412,LC,continental four twelve thank you,520.15,521.26,
LC,USA122,u s air one twenty two runway three six cleared for takeoff wind three zero zero at five,530.42,534.19,
USA122,LC,cleared to go u s air one twenty two,534.38,535.74,
LC,USA1004,u s air ten zero four runway three six taxi into position and hold,543.67,546.83,
LC,USA122,u s air one twenty two contact departure good day,583.77,586.14,
USA122,LC,u s air one twenty two good night,586.62,587.87,
LC,USA1004,u s air ten oh four runway three six cleared for takeoff wind three one zero at four,595.40,599.11,
USA1004,LC,cleared for takeoff u s ten zero four,599.91,601.69,
LC,MED1,medstar one the wind three one zero at four frequency change approved good day,603.71,607.50,aircraft apparently on another frequency
LC,USA1004,u s air ten oh four contact departure,659.03,661.17,
USA1004,LC,ten oh four good day,661.29,662.15,pilot omitted ident prefix
LC,USA1004,day,662.29,662.74,
LC,USA1492,u s air fourteen ninety two runway three six taxi into position and hold,670.43,674.19,
USA1492,LC,to position and hold u s air fourteen ninety two,674.72,676.95,
