from,to,text,time_start,time_end,comment
ASA953,LCE-1 ,cross the left short of the right asea nine fifty three,15.97,17.69,
LCE-1,ASA457 ,asea four fifty seven regional tower taxi across three five left hold short of three five right,18.16,22.16,
LCE-1,ASA457 ,asea four fifty seven,25.62,27.01,
LCE-1,ASA457 ,asea four fifty seven just turned up,27.11,28.84,
LCE-1,ASA457 ,asea four fifty seven okay sir taxi across three five left hold short of three five right,28.90,32.67,
ASA457,LCE-1 ,cross three five left short of three five right four fifty seven,32.71,35.02,
LCE-1,DAL318 ,delta three eighteen heavy contact departure,35.25,37.25,
DAL318,LCE-1 ,ah good day,37.42,38.41,
LCE-1,ASA953 ,asea nine fifty three taxi into position and hold runway three five right,64.55,67.29,
ASA953,LCE-1 ,position and hold three five right asea nine fifty three,67.43,69.32,
LCE-1,DAL556 ,delta five fifty six caution wake turbulence you're five miles in trail with a heavy boeing seven sixty seven at the middle marker fly heading three six zero runway three five left cleared for takeoff northeast bound prop traffic will depart the outboard,87.66,98.65,
DAL556,LCE-1 ,delta five five six cleared for takeoff,98.88,101.22,
LCE-1,ASA953 ,asea nine fifty three jet traffic departing the inboard caution wake turbulence from the heavy boeing seven sixty seven departed three minutes ago runway three five right cleared for takeoff,101.60,109.49,
ASA953,LCE-1 ,cleared for takeoff asea nine fifty three,109.63,110.98,
LCE-1,DAL866 ,delta eight sixty six regional tower taxi into position and hold runway three five left,111.73,115.66,
DAL866,LCE-1 ,delta eight sixty six position and hold three five left,115.90,118.91,
LCE-1,COP853 ,copter eight five three clear of the t c a squawk twelve hundred radar service terminated frequency change approved,127.97,132.58,
LCE-1,COP853 ,roger,134.72,135.22,
LCE-1,ASA457 ,asea four fifty seven taxi into position and hold runway three five right,141.66,144.68,
ASA457,LCE-1 ,asea four fifty seven position and hold three five right,144.78,147.02,
ASA337,LCE-1 ,regional tower asea three thirty seven is checking in on three five right,153.93,157.16,
LCE-1,ASA337 ,asea three thirty seven regional tower cleared to land three five right traffic on the runway will depart prior to your arrival wind three four zero at five,157.36,163.36,
ASA337,LCE-1 ,cleared to land three five right asea three thirty seven,163.43,165.60,
LCE-1,DAL866 ,delta eight eighty six eight sixty six rather at the middle marker fly heading three six zero runway three five left cleared for takeoff prop traffic will depart the outboard,165.70,172.41,
DAL866,LCE-1 ,delta eight sixty six is rolling,173.19,175.19,
LCE-1,DAL556 ,delta five fifty six contact departure,175.32,177.59,
DAL556,LCE-1 ,five fifty six,178.20,179.39,
LCE-1,ASA953 ,asea nine fifty three contact departure,179.56,181.69,
ASA953,LCE-1 ,to departure asea nine fifty three good day,181.80,183.59,
LCE-1,ASA457 ,asea four fifty seven jet traffic departing the inboard runway three five right cleared for takeoff,185.98,190.25,
ASA457,LCE-1 ,cleared for takeoff three five right asea four fifty seven,190.45,192.21,
LCE-1,DAL1240 ,delta twelve forty regional tower taxi into position and hold runway three five left,192.48,195.84,
DAL1240,LCE-1 ,delta twelve forty in the hold three five left,196.11,197.87,
LCE-1,UPS2752 ,upsco twenty seven fifty two heavy turn right at sixty taxi to the ramp,203.60,206.72,
UPS2752,LCE-1 ,to the ramp upsco twenty seven fifty two heavy,207.33,209.26,
LCE-1,DAL1240 ,delta twelve forty at the middle marker fly heading three six zero runway three five left cleared for takeoff,218.49,222.86,
DAL1240,LCE-1 ,three six zero at the marker delta twelve forty cleared for takeoff three five left,223.20,225.91,
LCE-1,DAL1548 ,delta fifteen forty eight regional tower taxi into position and hold runway three five left,226.21,229.74,
LCE-1,DAL866 ,delta eight sixty six contact departure,235.02,237.16,
DAL866,LCE-1 ,eight sixty six so long,237.26,238.58,
LCE-1,ASA457 ,asea four fifty seven contact departure good day,241.63,244.07,
ASA457,LCE-1 ,adios,244.17,244.99,
LCE-1,DAL1240 ,delta twelve forty contact departure good day,283.24,285.30,
DAL1240,LCE-1 ,delta twelve forty good day,285.43,286.78,
LCE-1,DAL1548 ,delta fifteen forty eight at the middle marker fly heading three six zero runway three five left cleared for takeoff,286.88,290.97,
DAL1548,LCE-1 ,cleared for takeoff delta fifteen forty eight three six zero at the middle marker,291.10,293.52,
LCE-1,DAL605 ,delta six oh five regional tower taxi into position and hold runway three five left,293.65,297.35,
DAL605,LCE-1 ,delta six zero five on and hold three five l,297.52,299.39,
LCE-1,AAL25 ,american twenty five heavy tower are you on frequency,303.04,305.78,
AAL25,LCE-1 ,regional tower american twenty five heavy on final three five right,311.23,314.13,
LCE-1,AAL25 ,american twenty five heavy regional tower cleared to land runway three five right and the wind three four zero at five,314.35,319.25,
AAL25,LCE-1 ,cleared to land three five right american twenty five heavy,319.67,321.99,
LCE-1,DAL605 ,delta six oh five at the middle marker fly heading three six zero runway three five left cleared for takeoff,345.37,349.40,
DAL605,LCE-1 ,six oh five cleared for takeoff,349.50,350.98,weak transmission
LCE-1,DAL758 ,delta seven fifty eight regional tower taxi into position and hold runway three five left,351.17,354.49,
DAL758,LCE-1 ,delta seven fifty eight on and hold three five left,354.69,356.36,
LCE-1,DAL1548 ,delta fifteen forty eight contact departure,356.53,358.72,
DAL1548,LCE-1 ,delta fifteen forty eight good day sir,358.94,360.10,
LCE-1,ASA337 ,asea three thirty seven hold short of three five left stay on this frequency,360.39,363.47,
ASA337,LCE-1 ,short of the left stay with you three thirty seven,363.66,365.59,
LCE-1,ASA337 ,asea three thirty seven taxi across three five left and contact ground ah point six five,399.45,404.45,
ASA337,LCE-1 ,cleared to cross the left point six five three thirty seven,404.83,407.38,
LCE-1,DAL605 ,delta six zero five contact departure,408.12,410.63,
DAL605,LCE-1 ,six zero five good night,410.76,412.02,
LCE-1,DAL758 ,delta seven fifty eight at the middle marker fly heading three six zero runway three five left cleared for takeoff,426.60,430.76,
DAL758,LCE-1 ,delta seven fifty eight cleared to go three five left three six zero at the marker,430.89,434.01,weak transmission
LCE-1,DAL356 ,delta three fifty six regional tower taxi into position and hold runway three five left,434.11,437.98,
DAL356,LCE-1 ,delta three fifty six on the hold three five left,438.21,440.59,
LCE-1,DAL356 ,delta three fifty six at the middle marker fly heading three four five three five left cleared for takeoff,469.06,473.09,
DAL356,LCE-1 ,delta three fifty six cleared for takeoff three five left three four five at the middle marker,473.51,477.41,
LCE-1,DAL1078 ,delta ten seventy eight regional tower taxi into position and hold runway three five left,477.64,481.22,
DAL1078,LCE-1 ,delta ten seventy eight position and hold three five left,481.44,484.03,
LCE-1,DAL758 ,delta seven fifty eight contact departure,484.19,486.03,
DAL758,LCE-1 ,delta seven fifty eight good day,486.83,488.03,
AAL541,LCE-1 ,regional tower american five forty one heavy we're at ah we're eight out,515.08,519.69,
LCE-1,AAL541 ,american five forty one heavy regional tower cleared to land runway three five right wind three four zero at seven,519.95,524.62,
AAL541,LCE-1 ,cleared to land three five right american five forty one heavy,525.88,528.04,
LCE-1,DAL1078 ,delta ten seventy eight at the middle marker fly heading three six zero runway three five left cleared for takeoff,528.27,532.36,
DAL1078,LCE-1 ,delta ten seventy eight's on the roll three sixty for departure,535.16,538.71,
LCE-1,DAL870 ,delta eight seventy regional tower taxi into position and hold runway three five left,538.84,542.00,
DAL870,LCE-1 ,on the hold three five left delta eight seventy,542.97,544.84,
LCE-1,AAL25 ,american twenty five heavy hold short of three five left and stay on this frequency,545.01,548.58,
AAL25,LCE-1 ,wilco,548.68,549.26,
LCE-1,AAL25 ,american twenty five heavy hold short of three five left stay on this frequency,550.20,553.48,
AAL25,LCE-1 ,twenty five heavy,553.58,554.45,
LCE-1,DAL356 ,delta three fifty six contact departure,554.58,556.48,
DAL356,LCE-1 ,good day,556.74,557.29,
LCE-1,DAL870 ,delta eight seventy at the middle marker fly heading three six zero runway three five left cleared for takeoff,617.26,620.71,
DAL870,LCE-1 ,three sixty at the middle marker cleared for takeoff three five left delta eight seventy,620.87,624.23,
